"latitude","longitude","population","total_units","vacant_units","median_rooms","mean_household_size_owners","mean_household_size_renters","built_2005_or_later","built_2000_to_2004","built_1990s","built_1980s","built_1970s","built_1960s","built_1950s","built_1940s","built_1939_or_earlier","bedrooms_0","bedrooms_1","bedrooms_2","bedrooms_3","bedrooms_4","bedrooms_5_or_more","owners","renters","median_household_income","mean_household_income","latitude.longitude","median_house_value"
33.984463,-118.291406,3705,1234,100,4.2,4.19,3.42,3.3,2.1,7.6,1,4.9,11.6,7,17.6,45,2.1,28.1,34.4,24.4,9.4,1.6,32.5,67.5,32813,41213,-4020.06991042498,312100
33.985668,-118.28439,3254,1013,94,4.1,2.43,3.64,3.3,6.6,4.6,0,11.9,7.4,22,12.2,31.9,10,23.6,44.4,16.4,5.6,0,27.9,72.1,23625,32092,-4019.97400812252,283300
33.985823,-118.299092,3506,1000,59,5,4.22,4.17,0,6.6,5.9,2.4,2.1,2.4,13.1,20.1,47.4,1.3,10.6,47.8,33,4.8,2.5,48,52,33932,41701,-4020.49200177272,306500
33.985588,-118.308581,4388,1421,115,4.3,4.56,3.24,0.6,7.7,3,6,1.8,5.1,9,17,49.8,5.6,24.7,42.6,22.1,4.9,0,45.7,54.3,35833,47238,-4020.78669073063,295200
33.978448,-118.310794,5262,1930,97,4.9,3.15,2.51,0,0,0,3.2,5.9,14.4,9.3,20.6,46.6,2.2,13.7,50.4,28.4,3.2,2,54.1,45.9,36369,44515,-4020.01716176771,284200
33.978627,-118.294951,3616,1102,149,4.7,4.41,3.2,0,0,1.1,0,0,8.7,25.5,10.4,54.3,5.5,13,48.5,22.1,7.5,3.4,62,38,35750,63997,-4019.50001601228,328500
33.9785,-118.301311,3526,1083,38,4.5,4.26,1.48,7.8,0,3.9,2.9,0,12.5,13.9,14.2,44.9,4.7,20,42,19.1,10.1,4.1,52.1,47.9,21652,41558,-4019.7010958135,246000
33.978635,-118.284374,4259,1247,74,4,3.91,3.43,2.6,4.1,0.6,1.2,18.6,11.9,13.2,18.2,29.6,12.3,20.8,42.9,22.2,1.8,0,26.9,73.1,22865,36316,-4019.14157034949,372000
33.972582,-118.286433,3887,1171,143,4.2,6.6,3.38,0,0,12.6,3.8,5.4,7,18.3,26.4,26.6,5,32.3,31.3,25.5,5.8,0,25,75,40500,47505,-4018.49554458001,305100
33.969196,-118.285485,3153,871,34,4,5.47,3.85,1.6,4.2,17,3.4,7.9,10.1,11.6,12.9,31.2,10,23.9,45.5,15.4,5.3,0,15.9,84.1,20216,30610,-4018.06282392006,196900
33.970769,-118.310859,3621,1395,95,5.4,2.92,2.72,0,0,4.2,4.4,4,5.2,10.5,20.1,51.7,0,11.1,39.8,44.9,3.7,0.6,65.5,34.5,50700,60995,-4019.11086128057,337000
33.947583,-118.309289,5864,2216,95,5.7,2.68,2.91,0,1.9,0.5,3.1,0.5,6.8,14.9,42.1,30.2,0.5,7.5,44,34.8,10.5,2.7,68,32,60026,69735,-4016.31440799849,307600
33.963781,-118.31042,4626,1827,118,5.1,3.13,2.58,0,0,1.9,0,10,6.7,20.3,18.4,42.7,5.1,20.1,36.5,32.5,4.5,1.3,49.9,50.1,44656,56593,-4018.26919489802,343700
33.965929,-118.286664,4821,1431,56,3.8,4.78,3.42,0,0.7,11,21.2,2.7,10.1,26.5,15.3,12.4,10.8,31.2,41.6,14.8,1.6,0,12,88,19648,29527,-4017.71643107086,381500
33.96264,-118.286758,3787,1107,138,3.6,4.3,3.39,0,0,17.3,18.5,1.5,10.4,17.6,2.4,32.2,11.4,37.6,33,13.7,3.4,0.9,16.2,83.8,27721,35484,-4017.33057872112,317600
33.956228,-118.308507,4497,1844,100,5.4,2.67,1.88,6.7,13.4,3.5,0,1.4,2.2,19.4,20.7,32.7,4.3,13.6,46.2,31.7,2.5,1.7,58.1,41.9,40709,61080,-4017.3106380316,352600
33.985413,-118.27692,3562,953,85,4.1,3.56,4.1,1.8,7.5,7.3,1.5,15.1,6.8,7.7,22.8,29.6,15.8,18.5,38.3,23.6,3.8,0,26.2,73.8,19147,30931,-4019.68997456796,358100
33.985008,-118.269515,4724,1122,97,4.6,5.11,4.48,1.2,7.9,1.5,8,9,5.8,18.4,11.6,36.5,9.3,11,41.4,25.1,8,5.2,35.5,64.5,40094,47939,-4019.39041343112,283800
33.978571,-118.277205,3996,1034,123,4.4,4.02,3.61,0,4,1.5,15.6,6.4,3,10.3,23.7,35.6,6.6,16.8,41.3,30.5,2.9,1.9,36.1,63.9,31964,43499,-4018.89040777405,339200
33.978719,-118.271738,3444,851,0,4.7,4.39,3.44,1.1,3.1,3.9,1.8,0.4,12.8,8.5,33.8,34.8,7.1,24.2,34.5,27.1,7.1,0,32.4,67.6,28603,38520,-4018.72215114362,292500
33.978625,-118.267321,2879,701,17,4.3,3.98,4.27,6.1,2.4,0.9,3.9,7.7,9.1,12.8,13.7,43.4,8.4,13,40.8,32.8,2.6,2.4,46.6,53.4,37568,43080,-4018.56095001362,247500
33.972802,-118.262523,3454,975,137,4.4,3.98,4.08,1.6,3.7,0,3.1,0.9,8.5,21.6,25.4,35.1,17.2,19.2,24.8,29.9,7.1,1.7,35.4,64.6,31090,41590,-4017.70927789945,363300
33.972851,-118.274793,3755,973,143,4.3,4.5,4.32,1.3,5.7,1.4,1.7,9,0,13.6,16.2,51,16.1,12.8,38.6,19.9,9.9,2.6,28.7,71.3,30893,38181,-4018.13191964484,350500
33.969523,-118.274652,3313,909,88,4.5,4.18,4.32,1.1,10.8,4.6,0,7.3,16.5,10.3,11.1,38.3,16,15.1,38.3,27.2,3.5,0,22.4,77.6,35324,40911,-4017.733511431,174200
33.966104,-118.263103,3412,908,51,4.5,4.17,3.69,0,2.6,4.5,1.9,5.6,6.4,26.5,15.2,37.2,9.5,19.4,36.2,26.2,6.1,2.6,40.4,59.6,36144,37064,-4016.93685586071,324500
33.958218,-118.262848,3673,943,21,3.9,4.25,3.33,0.4,9.3,6.5,12.3,0.4,28,6.5,14.4,22.2,20.6,24.7,34.4,18.7,1.7,0,17.1,82.9,22432,29747,-4015.99557368486,300000
33.954358,-118.263902,5055,1313,40,4.9,4.53,3.69,1.4,2.4,4.9,8.5,2.3,15.8,15.4,10,39.3,8.8,12.7,41.2,28.9,6.3,2.1,48.1,51.9,33169,41978,-4015.57486698492,254300
33.955884,-118.27549,5252,1450,174,4.2,4.82,3.86,4,3.6,14.3,3.9,9.9,6.8,20.4,13,24.1,15.1,16.7,30.3,27.1,7.7,3.1,30.7,69.3,27697,37456,-4016.14881848316,315500
33.956067,-118.286493,5691,1667,164,3.9,3.97,2.96,0.4,4.1,5.2,11.1,2.6,19.1,17.6,22.3,17.6,14.2,26,37.5,13.9,6.8,1.6,27.5,72.5,27006,38612,-4016.54408150303,348400
33.950021,-118.286198,5383,1442,170,4.1,4.36,3.29,0,2.4,4.2,10.9,2.2,27.6,13.9,25,13.7,10.4,18.4,49.7,16.7,4.7,0,32.3,67.7,32636,45741,-4015.81890611016,288800
33.944669,-118.285679,3854,1141,35,4.8,4.08,3.01,0,2.2,17.6,8.7,7.4,7.4,12.6,12.4,31.6,4.7,16.4,45.8,26.7,6.3,0,54.2,45.8,24891,35278,-4015.16822109525,294700
33.947159,-118.275226,5655,1605,110,4.4,4.88,3.43,0,1.6,13,6.6,8.2,11.4,12.2,25.3,21.7,12.6,21.6,28.5,27.4,6.7,3.2,33.5,66.5,29385,35839,-4015.10790278293,257800
33.946654,-118.268751,4932,1308,126,4.3,3.75,3.58,0,4.7,3.7,15.4,2.8,9.2,16.8,23.2,24.2,14,17.5,34.6,25.8,8.1,0,27.5,72.5,31484,40105,-4014.82836920915,338500
33.947289,-118.259569,6161,1673,121,5,3.39,3.75,3,1.2,1.8,4.8,7.2,10.6,16.7,35.2,19.4,9.8,7.9,43,35.4,3,0.8,51,49,33750,43435,-4014.59176585844,256500
33.93989,-118.26191,4377,1093,71,4.8,4.32,4.72,12.2,1.3,0.5,7.3,19.7,5.5,15.7,8.5,29.3,6.2,4.4,40.8,38.1,10.5,0,43.5,56.5,24231,39053,-4013.7962165899,306300
33.934225,-118.262131,5620,1412,141,4.7,4.42,4.5,1.6,3.8,5.5,2.5,9.9,17.8,17.8,17.5,23.7,9.3,13.3,33.6,28.6,13,2.1,41,59,31962,42617,-4013.13376233347,250600
33.929514,-118.26643,4285,1185,103,4.9,3.55,3.09,0,3.5,19.6,3.7,10.5,13,11.1,29.9,8.8,9.4,6.1,46.2,32.4,4.9,1.1,44.8,55.2,31188,37904,-4012.72249241502,381700
33.92506,-118.262206,3606,1012,72,4.7,3.38,5.12,0,1.4,2,3.9,15.1,5.6,17.3,37.7,17,9,7.7,44.9,23.9,12.1,2.5,46,54,44049,48133,-4012.05243428236,275000
33.936419,-118.276566,4564,1216,130,4.4,4.4,4.25,10,4.6,3.7,5.2,6.4,11.6,12.2,19,27.3,11.6,11.9,33.7,28.8,12.2,1.8,29.7,70.3,27049,35870,-4013.88310165715,303700
33.934062,-118.285451,4943,1609,157,4.8,3.03,3.63,0.7,1.7,4,3.2,8.4,10.9,9.3,22.7,39,10.4,19,31.4,27.7,8.6,3,44.9,55.1,33019,42087,-4013.90582793196,311600
33.924992,-118.274788,3285,926,51,4.9,3.42,4.22,5,0.3,6.6,11.7,3,13.8,38.4,8.9,12.3,7.2,5.6,38.7,38.7,6.8,3,43,57,33388,44487,-4012.4712367017,317900
33.939153,-118.250138,3938,1001,138,4.8,4.37,3.58,1.5,3.4,3.8,2.6,14.4,11.8,7.8,44.3,10.5,13,9.1,26.9,38,10,3.1,43.7,56.3,33705,44349,-4013.30952585311,307100
33.948879,-118.23923,6554,1639,148,4.8,4.99,3.56,0,4.6,7.6,4.2,17.6,6.2,11.8,8.9,39.1,18.2,13.3,26.9,32,8.6,0.9,40.9,59.1,35598,47373,-4014.08931232317,273100
33.949432,-118.246018,4586,1117,90,4.8,6.19,4.6,18.2,5,4.9,17.5,7,7.3,12.5,9.8,17.8,16.1,10.4,24.3,41.4,4.1,3.8,26.6,73.4,35750,46329,-4014.38514736178,295600
33.931954,-118.249995,4409,1308,121,4.3,3.72,3.14,1.5,3.6,4,1.1,5,10.2,38.5,21.4,14.7,10.6,15,49.1,18.5,5.4,1.5,4.2,95.8,15116,22993,-4012.45339084023,345700
33.932775,-118.234594,5350,1391,136,4.4,6.48,3.74,3.2,20.3,2.3,7.5,7.3,20.2,12.9,14.4,12,11.6,16.7,25,33.1,11.1,2.6,26.6,73.4,24150,36816,-4012.02787541835,226500
34.059197,-118.468903,2873,1776,69,3.9,1.94,1.95,0,0,2.8,18,23.9,28.3,21.4,3.2,2.4,1.9,36,50.9,5.3,1.4,4.6,35.6,64.4,63964,109124,-4034.95570565089,620300
34.050936,-118.464224,4646,3223,251,3.7,1.95,1.7,1.3,3.8,13.3,12.7,27.5,27.7,11.8,0.4,1.5,6.2,32.5,53.1,7.8,0,0.4,18.8,81.2,82558,110229,-4033.81770971366,779300
34.047626,-118.471607,5683,3172,236,4.4,2.24,1.85,3.4,4.3,8.1,13.1,18.2,22.4,12.4,9,9.2,1.7,25,41.4,22.1,3.4,6.4,42.2,57.8,95362,141285,-4033.67696675498,917700
34.067583,-118.453552,4523,1670,137,3.6,1.74,3.11,0,0,7.7,9.6,16.3,43.2,12,6.9,4.3,14.5,38.4,38,7.2,1.3,0.5,4.4,95.6,24467,41868,-4035.42621440482,381000
34.064212,-118.449692,4082,1901,68,3.1,1.4,2.01,12.5,18.6,4.7,9.3,10,13.4,13.6,6.6,11.4,23.6,29.5,41.2,5.7,0,0,5,95,17243,47755,-4034.8954196227,476000
34.055653,-118.443442,4234,2545,353,3,1.7,1.59,3.3,0.5,5.4,26.1,25.3,21.4,11.3,4.5,2.2,17.2,48.4,26.5,3.8,3.6,0.5,17.6,82.4,66767,92028,-4033.66876087763,700200
34.051245,-118.441564,4561,2401,98,4.1,2.04,2.01,6.6,3.3,7.8,22.2,26.1,10.5,6,6.5,11,7.5,13.8,68.2,6.7,3.8,0,28.7,71.3,92750,111385,-4033.08271394718,754900
34.055956,-118.432506,2890,1547,78,4.6,1.98,1.95,3.3,2.3,5.4,15.8,18.4,18.7,9.8,12.3,13.9,0,20.6,55.3,16.5,5,2.7,52,48,94531,144835,-4033.33221330574,881200
34.060779,-118.43439,3042,1713,130,4.4,1.78,2.03,0,5.1,17.3,38.1,11.1,7.6,2.2,2.2,16.3,1,13.8,60.9,21.8,1.3,1.2,62.9,37.1,116875,172597,-4033.96758378981,955600
34.052742,-118.425375,6087,2959,361,4.9,2.42,2.02,2,2.7,6.8,12.9,18.1,11.1,11.1,13.6,21.7,6,15.1,40.9,31.1,3.4,3.5,48.4,51.6,89567,127634,-4032.70874112825,883400
34.04667,-118.436836,5927,2971,173,4.1,2.29,1.79,0.5,4.6,5.1,19,29.3,13.2,6.6,5,16.6,5.3,23.1,50.8,15.8,4.3,0.7,36.1,63.9,69813,97167,-4032.37987113612,705000
34.042063,-118.465594,4580,2730,439,3.5,1.77,1.84,6.7,3.3,5.8,12.9,23.9,28.4,12.7,4.1,2.2,2.5,44,43.4,9.1,0.5,0.5,18,82,78646,88082,-4032.81321428042,610300
34.047608,-118.456741,3011,1788,105,3.2,1.56,1.82,2.1,1.6,11.2,13.4,21.9,29.6,14.1,3.6,2.3,3.6,51.2,38.5,6.2,0,0.5,12.3,87.7,52367,68907,-4033.16868252553,566000
34.04642,-118.461101,2806,1910,225,3.8,2.06,1.71,3.4,3.8,13.1,16.7,14,39.5,7.1,1,1.3,1.5,44.6,49.9,2.3,1.7,0,9.4,90.6,85469,104580,-4033.17639830842,656600
34.041103,-118.456122,5379,2702,226,3.6,1.95,2.39,0.8,7.9,5.1,17.1,22.6,25.7,15.4,4.6,0.8,14.1,34.2,41.9,9.3,0,0.4,17.4,82.6,67702,85847,-4032.37704998257,603400
34.038112,-118.461624,3243,1682,88,3.5,2.57,2.05,5.9,6.5,12.3,14.1,16.3,18.1,10.9,11.4,4.5,7.5,35.4,38.8,18.3,0,0,25,75,57783,74840,-4032.21002541389,667200
34.0357,-118.451636,2549,1253,14,4,2.38,2.04,1.2,6.4,2,7.5,12.5,18.5,12.9,31.3,7.7,2,27.5,40.2,19.5,9.2,1.7,40.6,59.4,71960,89058,-4031.5843474052,718000
34.040661,-118.446286,2990,1691,103,3.8,2.22,2.14,8,6.3,4.8,19.3,24.7,12.1,8.7,8.3,7.8,4.1,30,50.1,14.8,1,0,26.2,73.8,70862,80945,-4031.98986843505,591700
34.039969,-118.430614,2917,1189,100,5.3,2.67,2.37,1.6,3.4,4.4,13.8,7.3,3.1,10.3,25.5,30.6,4.2,3.8,42.6,31.2,14.3,4,67.5,32.5,82552,132054,-4031.37442921097,879700
34.048179,-118.419658,3375,1808,222,4.4,2.19,2.11,5.7,10.2,2.3,11.1,16.9,16.2,6.9,6.4,24.4,7.3,13.8,51.6,18.4,6.6,2.2,50.7,49.3,83397,126620,-4031.97371270278,808900
34.041004,-118.379993,3413,1105,65,4.3,3.24,3.61,0,0,6.7,0,4.7,33.3,17.7,29.3,8.2,1.2,17.9,51.4,26.3,2.2,1,13.1,86.9,43764,55242,-4029.77381523297,630800
34.042412,-118.384354,3252,1113,0,4.2,3.42,2.65,3.1,0,0,0.4,14.3,32.7,22.9,15.3,11.2,5.2,17.6,54.5,14.6,7.6,0.4,16,84,49583,64156,-4030.08895322185,916700
34.03601,-118.387274,4085,1740,63,4.6,2.65,2.05,0,2,2.7,6.6,5.9,14.3,22.4,11.6,34.6,0.5,20.2,51,23.6,2.6,2,45,55,67349,85882,-4029.43044173674,647100
34.031806,-118.39638,3458,1725,104,3.7,3.03,1.91,1.5,0,2.3,14,24.2,19.4,15.4,13.6,9.6,7.2,35.9,41.4,13.4,2,0,20.5,79.5,58648,74305,-4029.24263526228,706700
34.021027,-118.406526,3650,1949,41,3.2,2.17,1.9,2.3,0,10.1,12.7,27.6,17.2,23,4,3.2,9.4,52.1,34.6,3.2,0.7,0,3.4,96.6,45625,55378,-4028.3116180222,468300
34.027571,-118.411749,3902,2316,234,3.2,2.01,1.91,2.5,0,2.5,11.4,22.9,27,19.9,5.7,8.2,10.4,54.6,34.2,0.9,0,0,4.4,95.6,50992,65130,-4029.26419633168,519700
34.024917,-118.403366,2878,1644,139,3.6,1.16,2.04,6.2,6.6,6.1,15,19.1,27.5,13.7,4.1,1.7,4.9,44.2,40.7,9.4,0,0.7,5.5,94.5,66938,89366,-4028.66470067062,480400
34.02767,-118.406076,2761,1483,107,3.6,1.79,2.03,0,5.7,9.8,10.5,28,25.4,10.5,4.2,6.1,3.8,45.3,40.7,10.2,0,0,12.8,87.2,48478,70384,-4029.08288012292,578100
34.026827,-118.398221,4412,2434,20,3.5,1.7,1.82,0.5,0.5,3.8,23.3,28,30.7,6.1,4.5,2.6,8.3,50,40.9,0.3,0,0.5,10.4,89.6,57911,66395,-4028.71578307477,442700
34.039911,-118.369779,2364,977,46,5.1,2.27,2.74,0,1.4,1.9,0,8.2,8.1,16,42.8,21.6,3.4,9.7,47.5,35.3,4.1,0,61.5,38.5,50296,74691,-4029.29674224967,618800
34.033985,-118.427489,2449,1000,29,5.1,2.48,2.07,0,2.5,4.6,7.2,5.3,2.6,20.2,40.9,16.7,0.7,9.6,36.7,37.9,14.6,0.5,54.9,45.1,75341,100926,-4030.55938421366,815100
34.031945,-118.441279,2525,1181,85,3.5,2.07,2.46,0,1.9,19.6,22.7,16.3,14.3,11.3,11.8,2,11.9,29.4,50,8.1,0.7,0,18.4,81.6,58448,66807,-4030.78709265765,613100
34.025916,-118.442205,4506,2114,154,5.1,2.65,1.91,2.8,0,1.6,11,10.6,7.8,32.8,21.6,11.8,2.3,20.4,30.7,40.3,5.1,1.2,56.1,43.9,78198,95054,-4030.10451818478,727500
34.010027,-118.44721,3391,1404,56,6,2.53,3.84,0,2.1,0,0.7,1.7,4.5,65.2,24.9,0.9,0,0,18.4,57.5,20.1,3.9,92.3,7.7,119762,167402,-4028.39281017467,857100
34.017037,-118.438338,2937,1432,73,5.2,2.47,1.88,2.9,0,2.4,3.4,11.5,12.8,29.5,32.5,5,2.3,24.4,29.5,25.8,12.8,5.2,53.3,46.7,83274,122428,-4028.92132596451,889400
34.022137,-118.430528,4475,1929,26,3.9,2.34,2.23,2.9,11.9,28,9.2,6.5,6.5,14.3,19,1.8,0.9,22.8,48.3,20.2,6.3,1.5,29.1,70.9,75772,104439,-4029.25964859834,918100
34.026445,-118.417764,5850,2964,161,3.5,2.5,1.82,0,2.7,1.1,6.3,37.2,17.2,16.2,15.1,4.1,14.6,36.1,29,16.4,2.8,1.1,21.9,78.1,80306,89395,-4029.33553376898,839600
34.024679,-118.425648,4134,1944,139,3.8,2.14,2.34,0.3,1.4,22.2,7.7,16.7,25.5,17,8.2,1,3.4,26.6,52.4,13.8,1.4,2.2,20.9,79.1,52083,60944,-4029.39465856699,690400
34.015955,-118.418104,3635,1823,47,3.4,2.37,2.23,0.1,6.5,6.4,18.8,19.8,23.6,10,12.1,2.7,8.6,41.1,35.5,14.3,0.4,0.1,18.6,81.4,53779,70004,-4028.10489684932,688400
34.019626,-118.412038,5911,2825,37,3.3,2.87,2.34,3.2,2.1,7.5,7.8,21.9,23.1,12.7,11.4,10.2,8.4,38.6,41.2,10.2,0.7,1,13.8,86.2,54479,68875,-4028.33324665779,616100
34.009417,-118.430947,3877,1824,76,3.5,2.56,2.12,3.8,1.1,1.3,18.4,17.2,21.3,18.9,13.7,4.4,8.6,44,17,21.1,4.4,4.9,29.8,70.2,57219,93515,-4027.7674622279,933400
33.998329,-118.438438,3378,1635,97,3.8,2.46,2.09,0,0,2.5,14.7,23.5,29.1,21.7,3.1,5.3,7.1,43.6,41.3,6.9,1.1,0,18.9,81.1,43426,55797,-4026.7089813701,544500
34.005062,-118.422258,2941,1411,54,4.6,2.41,2.02,0.8,4.2,12,6,10.2,7.1,17.6,29.6,12.6,2.2,26.4,35.9,23.6,7.2,4.7,46.4,53.6,82263,100839,-4026.95622547,804100
34.001984,-118.427025,4074,2022,79,3.4,2.06,2.18,0.5,1.6,4.4,10.6,19.4,23.7,23.6,9.7,6.3,8.8,47.9,28.9,9.4,3.4,1.6,15.3,84.7,46088,56394,-4026.7538092176,686100
34.003049,-118.460113,2197,1567,713,4.6,2.18,2.9,0,0,0.2,2,3.6,5.4,60.4,23.2,5.2,2.1,31.2,32.4,26.2,6.6,1.4,71.1,28.9,94516,114241,-4028.00502688454,880500
33.995748,-118.472003,3695,1785,269,3.9,2.71,2.28,2.2,2.8,4.6,2.7,10.5,15.2,16.3,12.6,33,4.4,31.6,42.4,18.3,2.2,1.2,23.6,76.4,70417,115347,-4027.54435904324,998000
33.993296,-118.477424,3172,2499,439,3,2.04,1.24,0,3,2.6,9.1,9.4,6.5,9.7,7.3,52.3,28.7,38.7,22.6,7.9,1.5,0.7,17.2,82.8,68117,91228,-4027.4381433495,979300
33.998226,-118.452675,2801,1286,91,4.7,2.3,2.27,1.6,1,12,3.3,10.2,5.1,17.7,12.2,37,2.1,15.2,40.2,35.6,6.1,0.7,58.4,41.6,73021,109285,-4027.18081495455,913100
33.992304,-118.452274,3107,1615,63,3.7,2.25,1.68,1.8,2.2,1.3,13.4,15.4,7.9,18,15.2,24.8,9.6,35.7,40.1,11.9,0.6,2.1,32.4,67.6,72115,130305,-4026.4657072993,939200
33.98628,-118.447125,4418,2620,263,4,1.9,2.08,11.2,31.2,29.2,7.1,1.9,4,8.2,2.4,4.9,2.8,31.5,47.1,12.5,3.2,2.9,42,58,105051,146685,-4025.577155445,946600
33.973924,-118.460258,4337,2722,563,4.5,1.86,1.94,2,5.7,8.7,16.7,45.3,14.6,2.1,2,2.9,7.8,14.8,47.4,19.1,9.7,1.2,53.2,46.8,133835,175019,-4024.55980231239,951500
33.999566,-118.40414,1177,524,9,4.5,2.57,2.93,0,1.5,14.1,18.3,1.3,10.7,35.9,18.1,0,3.2,16,35.3,37,6.5,1.9,42.9,57.1,87356,98946,-4025.68937260324,669900
33.997162,-118.410781,4226,1418,42,3.8,3.25,3.36,0.7,0,0,9.9,23.6,12.5,28.2,19.3,5.8,2.2,32.5,37.2,23,2.9,2.2,31.8,68.2,47292,74902,-4025.63050420352,621600
33.995996,-118.420491,3887,1694,117,3.6,2.57,2.31,0,0,6.3,22,11.5,30.4,15,9.3,5.5,7.9,36,39.5,12.3,4.4,0,22.4,77.6,46734,63111,-4025.82253835404,593600
33.983898,-118.434048,4775,2761,241,5,1.89,2.21,0.5,12.9,2.5,13.6,31,29.1,5.5,3.9,1,2.5,9.5,64,21,2.5,0.5,65.6,34.4,99583,119672,-4024.8506069591,683000
33.9893,-118.424044,4993,2405,198,4.6,2.78,2.24,0,2.5,0,2.3,28.1,17,31.7,11.8,6.6,1.7,33.1,20.7,33.5,9.7,1.2,52.7,47.3,61229,88601,-4025.1503587292,680800
33.992128,-118.412762,5207,1634,42,4.3,2.64,3.3,0,0,0.7,1.5,12.4,12.6,33.7,14.4,24.7,2.3,22.3,38.1,28.2,9,0,29.2,70.8,39265,54556,-4025.10176273754,588000
33.986741,-118.407949,2711,1214,0,5,2.51,2.31,0,1.4,0,6.8,5.8,27,43.7,14.6,0.7,7.7,18.1,26.7,40,5.9,1.6,50.7,49.3,56570,85380,-4024.30029500421,623100
33.975099,-118.374944,5592,3269,137,3.9,2.02,2.07,0,13.6,14.6,16,19.2,10.8,13.5,6.1,6.2,2.9,33.4,52.6,9.2,1.1,0.8,16.1,83.9,56563,70146,-4021.80044151946,519000
33.966553,-118.409576,4009,1611,31,6.1,2.53,3.39,0.7,2.5,6.8,1.1,2.2,4.4,25.3,56.5,0.5,0,1.6,10.1,58,25.8,4.5,87.6,12.4,113457,136647,-4021.96513891153,756400
33.967241,-118.417979,5063,719,16,6,2.52,1.48,0,6.7,5.1,1.7,3.2,11,14.3,52.9,5.1,5.3,5.6,29.3,38.2,12.4,9.2,74.4,25.6,85518,116919,-4022.33203142594,776000
33.961378,-118.432661,3838,1739,55,6.6,2.46,1.75,7.1,1.7,7.1,21.3,11.4,14.8,27.4,8.2,0.9,0,8.7,22.5,39.7,23.7,5.4,68.3,31.7,109821,186563,-4022.13636776686,929400
33.955948,-118.437475,5252,3285,89,4,1.52,1.92,8.1,10.6,2,27.3,25.2,12.3,10.2,2.6,1.7,0,34.2,60.6,5.2,0,0,44.5,55.5,91544,95178,-4021.6567423513,452700
33.957162,-118.424408,3983,2466,122,3.7,2.1,1.73,12.7,0.6,9.9,8.7,38.1,7.7,17.9,4.4,0,9.7,30.6,34.9,23.5,0,1.3,42.7,57.3,75510,77949,-4021.3568072101,471400
33.969889,-118.400173,5395,2206,148,6.4,2.65,2.57,0,3.2,8.5,1.5,1.5,1.5,54.9,28.4,0.5,0.5,1.6,19.6,43.5,21.5,13.3,84.7,15.3,132500,163576,-4022.0407343908,840300
33.965309,-118.378696,3004,1143,35,5.6,2.68,3.21,1.4,1.5,0,1.7,5.1,5,39.9,44.2,1.3,0,0,27.7,59.8,11.3,1.2,85.2,14.8,102821,94859,-4020.76898865706,621800
33.956292,-118.383161,2490,1256,117,3.9,3.26,2.46,1.5,0,0.9,4.8,17,22.1,35.3,8.8,9.8,2.5,34.3,49.8,9.7,3.7,0,14.1,85.9,58207,65320,-4019.85318279901,318800
33.948176,-118.373195,1533,926,307,3.7,2.26,2.66,0.8,0,6.9,20.5,42.8,21.4,4.4,3.2,0,0.9,40.9,57.9,0.3,0,0,3.1,96.9,45123,54527,-4018.55405754232,512500
33.958213,-118.398124,2458,1044,70,4.9,2.78,2.1,0,0,4.1,15.1,5.1,5.4,12.8,56,1.4,1.8,15.2,42.2,31.9,6.5,2.3,44.9,55.1,66324,100333,-4020.58871359241,678500
33.958307,-118.44746,3158,1667,94,4.8,2.24,1.75,1.6,0.5,3.8,13.4,19.1,16.3,32.9,8.2,4.3,1.9,18.5,38.9,29.8,8,2.8,46.2,53.8,116603,157251,-4022.27521005022,989700
33.919874,-118.286475,3510,1265,118,4.3,3.25,2.97,0,11.5,8.3,0,11.5,23.2,21.1,18.2,6.1,9.4,20.2,37.9,23,9.6,0,32.9,67.1,34330,51573,-4012.26232790415,421900
33.913514,-118.289503,2210,654,0,3.4,2.93,3.66,4.3,4.3,8,6,0,24.5,27.5,9.5,16.1,1.7,44,26.5,20,7.8,0,30,70,27250,40306,-4011.61271604354,397300
33.902082,-118.288658,3582,1053,83,4.6,3.54,3.97,1.7,0,0.8,0.5,4.9,1.6,17,65.7,7.8,2.5,5.5,31.9,52.9,2.9,4.3,81.2,18.8,59219,61989,-4010.23178318596,403500
33.88648,-118.287895,4967,1556,128,4.4,2.94,3.6,2.5,3.7,1.3,19.9,6,14.2,32.2,17.4,2.9,3,17.7,32.1,39.5,4.4,3.4,42.2,57.8,43750,53654,-4008.3603881596,383200
33.879002,-118.287425,3353,1068,52,4.3,3.17,3.22,8.2,0,9.5,19.9,5.5,23.2,23.7,4,6,6.2,23.1,25.2,33.6,10.3,1.6,42.5,57.5,36250,52218,-4007.45990814985,442000
33.842505,-118.305757,6543,1963,96,4.3,3.65,3.42,3.2,1.4,3.7,11.3,24.6,18.3,27.5,8.6,1.4,1.4,11.6,47.6,36.3,3.2,0,32,68,41620,56920,-4003.76317280129,418200
33.830931,-118.304741,6629,2187,159,4,3.29,2.83,0,1.4,8.5,4.7,12.1,14.2,28.4,20.2,10.6,6.5,28.9,42.5,18.2,1,3,34.8,65.2,53582,62525,-4002.35952974387,404900
33.821696,-118.304202,6742,1865,70,3.9,3.48,3.69,6.5,0.9,3,6,31.2,15.2,21.1,13.6,2.4,1,30.1,49.8,16.2,2.6,0.3,19.1,80.9,32988,40335,-4001.24875556659,437100
